,a(1),a(2),a(3),a_std,t(1),t(2),t(3),t_std,v(1.0),v(1.1),v(2.0),v(2.1),v(3.0),v(3.1),v_std,z_std,z_trans(1),z_trans(2),z_trans(3),z(1),z(2),z(3),v_bias(1),v_bias(2),v_bias(3)
15,2.68142541384166,1.9913902486087758,2.291208882776081,0.6434160441930706,0.25082807606715385,0.2608459943800154,0.24746253675475471,0.03343146156739553,5.975776351495412,5.174310715774432,4.44088288121386,4.74093654090067,3.692582269920354,4.565469211678447,1.470273305381685,0.26660521854133445,-0.17039954784642064,-0.2473660733894839,0.020832513835171027,0.45750289216662177,0.4384719040378148,0.5052079401090845,-0.8014656357209802,0.3000536596868093,0.8728869417580936
16,2.8017203566772193,2.10265555073039,2.2314277657359938,0.6313403605680958,0.25599964645371426,0.25485066511894794,0.2477786439973517,0.032630442819901975,5.691384416016362,5.651571078702535,4.214084303184298,4.882529906047159,3.9473214161464307,5.030368335728226,1.3451256213888074,0.2699487771041276,-0.23684953300735165,-0.15142626798761394,-0.03874982282478935,0.44106287924091886,0.46221560483901547,0.4903137562940811,-0.03981333731382719,0.6684456028628611,1.083046919581795
17,2.5482414101765403,2.135965634809923,2.7085877523604642,0.5861024991404901,0.2503946726023505,0.24873873483192585,0.24357793737036876,0.03557746350410292,5.689650079620524,5.377850211585556,5.021640861922549,5.002028933295048,5.013061312242897,4.44359255362601,1.328223301784295,0.35092353757890943,-0.13903616659154933,-0.41220848525767295,-0.1905354037411176,0.4652968444015827,0.39838268622848033,0.4525097350616446,-0.31179986803496806,-0.019611928627501385,-0.5694687586168872
18,2.6952189163479976,2.176879624202365,2.4386698657385226,0.5459148963843471,0.2592131407877168,0.27788508101804454,0.23678015498680705,0.0389596742780982,6.043343468190383,5.224608749276978,5.194633573991189,5.189019105198764,5.095587286032423,5.061821950585023,1.47998756931306,0.2769089619098219,-0.04227853685535711,-0.1852531429751004,-0.13889413229391992,0.48943193991758266,0.4538187123581339,0.4653321820969274,-0.8187347189134044,-0.005614468792424887,-0.03376533544739946
19,2.4380468736852867,2.1978900879775933,2.5604342932572246,0.5486560556648521,0.25968334362317325,0.2510796475612079,0.24028795472882516,0.04081560876759387,5.732363524101566,5.601322366698059,4.980769773953173,4.816021954214798,5.230811617647866,5.113317070610822,1.112129677654356,0.2824752248154232,-0.09346133169751628,-0.2802322076843954,-0.243623593913643,0.4766516602873877,0.43039684817289364,0.43939356713098615,-0.13104115740350686,-0.16474781973837516,-0.11749454703704387
20,2.6577076956156986,2.2005256754044336,2.3223561356002445,0.606179572432846,0.26450216868011195,0.2783194521579579,0.24837251944105596,0.0397107574183111,6.216706958716581,5.55278003950397,4.677871597499016,5.084067053825867,4.965017670622988,4.908534074019999,1.363484918192219,0.2884752928960481,-0.10095361446215934,-0.24972053371676003,-0.29152675668875416,0.47478300960522496,0.43789228648630113,0.42763013290647606,-0.6639269192126109,0.4061954563268513,-0.056483596602988406
21,2.6475723173171475,2.3630953529777696,2.408730759593107,0.5909231874775451,0.2655823510909097,0.2833235746859861,0.2496382667231004,0.040423278159663414,6.368580355273302,5.303006426867499,5.32012694906063,5.00423466363792,5.0782630704101,5.237763750281217,1.4428980182725764,0.2581073689866302,-0.15249363188156248,-0.23319002895988947,-0.16073370583671215,0.4619502984237335,0.4419652372714542,0.4599028632695083,-1.0655739284058034,-0.3158922854227102,0.15950067987111716
22,2.631385434653138,2.129534511140067,2.539410962194484,0.5679134150749148,0.26964997484651154,0.28464553122843517,0.24095301409676678,0.03728336518469998,5.99876833820257,6.022638246937723,4.586117307576104,5.654012239401076,4.845597800961739,4.666415142242515,1.5735824920569166,0.22645676720638144,-0.10441489601767945,-0.1795884208014109,-0.20308241067615473,0.47391996642425943,0.4552231753421119,0.4494031727426836,0.023869908735153267,1.0678949318249717,-0.179182658719224
23,2.5391842296101332,2.0671405851026474,2.7643658241678013,0.6076347843226317,0.2592344836653009,0.24576661094153968,0.24568983974051412,0.03388676474510001,6.320015206909969,4.9297573242433055,5.169998295946059,4.598681595812376,4.589029379135256,5.420162235667183,1.4591549540752857,0.27548063247026383,-0.13872300202901441,-0.2951984686913349,-0.2358221359826575,0.4653747592414386,0.42673167487051644,0.44131617506226,-1.3902578826666634,-0.571316700133683,0.8311328565319274
24,2.4732817664364593,2.4007730136020218,2.780605162053597,0.5710270124513336,0.26626064696064516,0.26812380255097323,0.2518682033007658,0.03414079774686755,6.655563715750105,5.723344584546486,5.3243090047814405,5.2771388582153484,3.6517430719836197,4.482681004530599,1.4533655020234797,0.2255121411974806,-0.20539967388416752,-0.13287766618977992,-0.1861251388590241,0.4488298567003535,0.4668293754524203,0.45360258181990143,-0.9322191312036194,-0.047170146566092086,0.8309379325469797
25,2.6052857376206746,2.2796233936452595,2.7244632760777923,0.6612293026076752,0.26036620338246186,0.2656408929471083,0.24097565848682953,0.034720418441699034,6.3922265933701965,5.765307043797312,5.293239339973726,4.718034335084773,3.268562809060425,4.73753170768669,1.2944465391955584,0.28447004294954287,-0.07056131195977552,-0.1613958735243976,-0.11417082414841874,0.48236698748501844,0.4597383903407345,0.4714882580618218,-0.6269195495728841,-0.5752050048889537,1.4689688986262652
26,2.588277517054325,2.4320156241637365,2.3891089611448506,0.6453584879028665,0.2671271049301379,0.2618209439753524,0.2357179579612668,0.03586794521290771,5.646318763528198,5.2700904269832325,5.495881020795371,5.345931693626671,3.7725853222014107,4.340326988014419,1.3328561691593153,0.3002959913014022,-0.0025130545115043534,-0.2190969228486553,-0.1551423084362838,0.4993717367027706,0.4454438352787794,0.46129203071138886,-0.37622833654496546,-0.14994932716870046,0.5677416658130081
27,2.663304998166556,2.464102489290595,2.574181113409268,0.4865870299966575,0.2423262803471481,0.24832672102416878,0.23297469318314415,0.036989010809339445,5.490575144052889,5.009429739856955,5.2810675850045214,5.364859497253914,4.6523042192435184,5.013732331688254,1.2252063042542227,0.28367637360660225,-0.11230609499462468,-0.17376518713934133,-0.3046064896731704,0.47195294904713525,0.4566676809506166,0.4244317765164687,-0.4811454041959342,0.0837919122493922,0.3614281124447354
