,a(1.1),a(1.2),a(2.1),a(2.2),a(3.1),a(3.2),a_std,t(1.1),t(1.2),t(2.1),t(2.2),t(3.1),t(3.2),t_std,v(1.1.0),v(1.1.1),v(1.2.0),v(1.2.1),v(2.1.0),v(2.1.1),v(2.2.0),v(2.2.1),v(3.1.0),v(3.1.1),v(3.2.0),v(3.2.1),v_std,z_std,z_trans(1.1),z_trans(1.2),z_trans(2.1),z_trans(2.2),z_trans(3.1),z_trans(3.2),z(1.1),z(2.1),z(3.1),z(1.2),z(2.2),z(3.2),v_bias(1.1),v_bias(2.1),v_bias(3.1),v_bias(1.2),v_bias(2.2),v_bias(3.2)
10,5.374142867247917,2.4845393730448952,4.702476365117456,2.4842317142640726,5.486786393452749,2.945683460212592,0.6716038076721191,0.07496178597217917,0.26554619717660605,0.10456020689302252,0.24861300834876549,0.027545733497965373,0.22971025665536465,0.03047737901536471,5.608379231860866,5.161978261505542,5.138352467682484,5.010789477901549,5.2763349432275755,4.814726711945496,5.269696344520668,4.9462693499614945,4.875657491009692,4.888892250258204,4.376607947919877,5.136451815511916,1.2530955026964479,0.16595148525025938,-0.22104854512534322,-0.27826648347042804,-0.13437804276315077,-0.13843276038939356,-0.11140948647364904,-0.1259750331993847,0.44496178994740176,0.4664559508137264,0.47217640147612083,0.43087882187005944,0.4654469724037368,0.46854782544081464,-0.4464009703553238,-0.46160823128207973,0.013234759248511807,-0.12756298978093472,-0.32342699455917323,0.7598438675920391
11,5.246368415356937,2.196288422020981,4.658589599197013,2.3411737571345426,5.364009220619367,2.714447047844137,0.5408153752130591,0.0737251619778163,0.2472738281525671,0.10492059720900765,0.25942462214719825,0.031987126174176414,0.22402941195066806,0.034555496849843076,5.982359190534725,5.379814926431083,4.831780530689176,5.379672477164498,5.23245825173372,4.947084024546318,5.011410729824074,4.837442993657916,5.229169783386725,4.663361376586147,4.353751916557873,5.157357475845725,1.2236721745894332,0.18649664787521628,-0.2052581590492837,-0.30414300141201517,-0.16113600684811882,-0.07413309394636178,-0.21805888734705228,-0.11069977755765717,0.4488648651224058,0.4598029364416064,0.44570026907028737,0.42454500576972704,0.48147520965139484,0.47235328276748106,-0.602544264103642,-0.28537422718740224,-0.5658084068005778,0.547891946475322,-0.17396773616615757,0.8036055592878517
12,5.275169628065475,2.5933985069968575,4.334455500691404,2.4529823685447165,5.132983561349018,2.8829413135594715,0.5406652858866308,0.07575664601695967,0.24806245803970772,0.10523351066510908,0.24202966035297743,0.019843656163882332,0.22216527115429768,0.03304619049061475,5.742670812896083,5.294269423742568,5.313929418071787,5.778744781318252,5.419252468048246,5.2089510754189865,5.258547914409084,5.430544767139828,4.727042378248728,4.578731406706926,5.058161843174137,5.0998229301808164,1.2341276254339835,0.17476039503797902,-0.20748314405721693,-0.3348877489695402,-0.12279291878844323,-0.060664347206832614,-0.14879907558812044,-0.17616252533229962,0.44831449961055053,0.46934028481510837,0.4628687166567417,0.4170518359705315,0.48483856262655367,0.45607290993102007,-0.44840138915351524,-0.21030139262925918,-0.14831097154180206,0.46481536324646555,0.17199685273074472,0.04166108700667959
13,5.151520306817395,2.571823405565019,4.391902530684837,2.345275567663385,5.556952285213521,2.9195892566527677,0.594108963303352,0.06774950125199684,0.2438469830972285,0.09791244426361304,0.2422622896731935,0.031341260886819086,0.24852423799299408,0.03206948128317433,5.479927359130434,5.491275920571905,5.045466355422369,5.302666014931561,5.738678589533132,4.8009387650171185,5.929138016608774,4.965426804543742,4.128300315412053,5.100270767396812,5.3397759412506955,4.405259907897435,1.2286215942827856,0.17990636477152666,-0.20202864407669258,-0.3159206657909148,-0.12313818749982616,-0.11343151395971579,-0.15048961016784565,-0.11533990387548648,0.44966393058779397,0.46925429310726163,0.46244844028783777,0.4216702332846049,0.47167248848438714,0.47119694824094166,0.011348561441471006,-0.9377398245160133,0.9719704519847587,0.2571996595091921,-0.9637112120650322,-0.9345160333532609
14,5.080796029476925,2.3706978288095946,4.484629042681799,2.380571369229758,5.458752623039629,2.7675506088434214,0.6195874735201826,0.0630337480509769,0.25731926701646235,0.10012979794460704,0.2579971682018017,0.04819765104234695,0.21615269774048806,0.035608306078421775,6.052969665431009,5.372488256313809,5.07492405807897,5.602113989410988,5.834826318814269,5.004671247679147,5.574685706641355,5.164239384568001,4.81397650322511,4.892292728132955,4.399645598747779,5.253937044377906,1.159051457856176,0.18668889828389118,-0.30444012694363126,-0.2746104440885036,-0.1439734653488134,-0.09643844001841415,-0.10378274812549121,-0.07986580415479733,0.4244724176859398,0.46406867867427254,0.4740775760236157,0.43177558974302727,0.4759090583299261,0.48004415527438654,-0.6804814091172,-0.8301550711351222,0.07831622490784529,0.5271899313320176,-0.4104463220733541,0.8542914456301274
15,5.2010056154154345,2.453930911304217,4.423362800756905,2.3599039099532337,5.282283102642413,2.9751702320929976,0.6356725407835022,0.06553071706024677,0.25067505363131354,0.09159170317623588,0.26462950577311495,0.034631916782839334,0.21123586344712872,0.03505271344436695,5.71221612106788,5.706426661340177,4.723600566428419,5.236689557265124,5.289952252597995,4.6835405483454835,5.613271097165023,4.946626334278154,5.393451828045034,5.367797486938652,4.418750995218905,5.156550815589475,1.161935480803514,0.19110660165735108,-0.1755356504021005,-0.34995026612010777,-0.14987162001423351,-0.06013105087686048,-0.14847615591719918,-0.2759180496218749,0.4562284233296958,0.4626020699465062,0.46294900231668407,0.41339448147093977,0.4849717651945125,0.43145480336463266,-0.005789459727703061,-0.6064117042525119,-0.02565434110638165,0.5130889908367049,-0.666644762886869,0.7377998203705705
16,5.158201204569808,2.262787251465077,4.462185109825344,2.1984219403969596,5.158269322563951,3.157756992966653,0.5887908219394843,0.07536173440859577,0.25792566819209306,0.09912017908975136,0.2664337710533277,0.03616256875833661,0.2088257674866871,0.036076816715726226,5.6651374467118325,5.3936420092553305,5.259467992383105,5.549936166949462,5.007569182257246,4.675572331117974,5.2457132180778805,4.95415829761305,5.149052526444842,5.17963135526634,5.079535267305542,5.303041026587648,1.2366212495624407,0.1845992591589116,-0.1986217095715399,-0.2672822291327382,-0.14621625936459443,-0.009946678050242762,-0.1635124727879882,-0.26330962458400825,0.4505071757902867,0.4635109209332105,0.4592127165193045,0.433574425092532,0.4975133509890815,0.4345503039141924,-0.27149543745650195,-0.33199685113927213,0.03057882882149876,0.29046817456635665,-0.2915549204648302,0.22350575928210592
17,5.569682234043791,2.5100979433408974,4.291016937279772,2.524164251456655,5.562602864227292,2.649577112766843,0.5975527132172229,0.05517630450562123,0.26050935050458507,0.09347292075466623,0.26527548351154023,0.02830168746434785,0.2446616175887605,0.03495392205132759,5.317342767196337,5.558681510347582,4.771624273405647,5.371117498371277,5.37099422162922,4.857300608075788,5.6988966781481505,5.318577903518452,5.0189261205891995,4.819740552703758,4.883400687094786,5.267585523515312,1.2238143471856329,0.18907547713332115,-0.12852213847480692,-0.2856430239053696,-0.1279200041702187,-0.11368139738137423,-0.16471482916268107,-0.1456487466286267,0.4679136199689082,0.4680635365181468,0.4589141423469956,0.42907085996642697,0.4716102185885078,0.4636520464193707,0.24133874315124526,-0.513693613553432,-0.19918556788544173,0.59949322496563,-0.3803187746296981,0.38418483642052603
18,5.598761041138902,2.3527649885106037,4.26518326915129,2.391054598327968,5.232459049252382,2.9206433304731396,0.6132772421601224,0.0673477033351634,0.2661449881505003,0.09319226787222991,0.24939309662788467,0.03012776210038237,0.21367256385062203,0.038616211250350585,5.499427122527997,5.313807634604566,5.019378671375725,5.200425541804291,5.288367488488409,4.449782902724575,5.472214733967743,4.965052811013364,5.36256559973653,4.979783378001,5.3502443716221455,5.4607037224299395,1.2382862559239667,0.18594030886568808,-0.19745149298688058,-0.3226393295951854,-0.12727519787914304,-0.053665953984230276,-0.2123504146414342,-0.1850233543118317,0.4507968801903736,0.4682240837292297,0.4471109894868608,0.42003265801610085,0.48658673057278495,0.45387567005524665,-0.18561948792343141,-0.8385845857638339,-0.3827822217355301,0.18104687042856593,-0.5071619229543787,0.11045935080779401
19,5.582736308144766,2.2910043291385076,4.567454643494666,2.404130967429895,5.3244199540920825,2.9543982633032027,0.6156723937635401,0.07312983688693875,0.24660681579390364,0.10716261054036229,0.2546119537924386,0.018336200011125032,0.22057585970062624,0.03766545241951067,5.408368526291108,5.360755184625934,5.297975151665678,5.465424203984905,5.0482556418540865,5.291179332239851,4.990990914626164,5.232394448492724,5.311159855340494,5.0687766768309,4.722782558605319,5.891354510352228,1.2031946826266884,0.1998155942978635,-0.2082574321705721,-0.2617237841548578,-0.11893887273245851,-0.042536313893591714,-0.1176965040949561,-0.18641272896173597,0.44812300368160335,0.4703002857051249,0.4706097933850355,0.4349400111830834,0.48936752462340444,0.4535313043468862,-0.047613341665173614,0.24292369038576478,-0.242383178509594,0.1674490523192267,0.24140353386655988,1.1685719517469089
