,a,a_std,t(1),t(2),t(3),t_std,v(1.0),v(1.1),v(2.0),v(2.1),v(3.0),v(3.1),v_std,z_std,z_trans,v_bias(1),v_bias(2),v_bias(3)
14,4.986905334051199,1.103464881257782,0.09717812551223971,0.028239983214276992,0.08193821481932868,0.07718231521035063,6.381284622535321,5.574335577081129,5.549187438207752,5.1904967598009675,5.51980030564683,5.413991501189704,1.3168684984152708,0.12341346377004928,-0.1958578647360567,-0.8069490454541919,-0.35869067840678426,-0.10580880445712548
15,4.993593952238383,1.527045633997191,0.07963133647269671,0.03005948803127258,0.026578639059734538,0.09812424848523064,5.727973023886137,5.773381664195864,5.403948893361848,5.550396682017409,4.8243847998861344,5.573843967049074,1.1648817697091594,0.09511867536762142,-0.1604215565941748,0.04540864030972713,0.14644778865556063,0.7494591671629394
16,5.049855567139423,1.4870442370206394,0.1091971874484302,0.01901940080424545,0.10896355400682758,0.08659162969714868,6.336271180810063,5.546050967771388,5.842520300110917,5.40522592964491,5.189228000461599,5.159119120050393,1.250145619699251,0.09990916327559746,-0.16271394355681584,-0.7902202130386753,-0.43729437046600683,-0.03010888041120552
17,4.530708753764349,1.6089899066807145,0.06803826400835862,0.06022752273679566,0.07817207407621786,0.0879403955114616,6.001561988494701,5.337061697361741,5.2471939072728375,5.432126745985495,5.30461809557789,5.455486155795358,1.0769475981796206,0.09126590379750853,-0.18229497792328309,-0.6645002911329598,0.18493283871265742,0.15086806021746746
18,4.775898524073259,1.1024182894008558,0.09507688590337794,0.08047943834496639,0.09358529154271214,0.07337397017097133,6.008801173574085,5.3819026862902115,4.922253815885005,5.272598232647499,5.522240862482019,5.269812236194168,1.0861511541126985,0.08849436389787617,-0.2020972576522091,-0.6268984872838734,0.3503444167624936,-0.252428626287851
19,4.830817948163238,1.1353015016665111,0.11951623151035717,0.034335645578895846,0.0854119253209074,0.07094283502987017,6.0148395519073405,5.904624988573319,5.579965442034857,5.15358721603942,5.226525974251765,5.037897694572708,1.1741934187738643,0.09218115424146056,-0.18453220133893508,-0.11021456333402124,-0.4263782259954372,-0.18862827967905726
20,4.810914887694495,1.267876349857552,0.09177988882868099,0.10333885615832222,0.0835699546465504,0.06026241596420577,6.112440897983178,5.767973496262211,5.2756149910135495,5.251519135887018,4.90297123235687,5.864084054601348,1.1164049965089795,0.0824186987962571,-0.15771520525049135,-0.34446740172096657,-0.02409585512653134,0.9611128222444787
21,4.3545714554809605,1.3214687705413517,0.10759871647164587,0.0677152045576931,0.05985125000609018,0.0771529105223405,6.017934646273125,5.60928872994091,5.250386479273849,5.714628053421127,5.2306580467768296,5.147987977536229,1.1969451909554947,0.1116612420510267,-0.23220943398128963,-0.40864591633221536,0.4642415741472785,-0.08267006924060016
22,4.384533790446024,1.342328092870967,0.11754949169692505,0.055894638380114436,0.07826224434855888,0.07279586308558567,5.856324662717166,5.500217737872522,5.567669537082127,5.577877129908779,5.680036772065295,4.9464167695767065,1.1963551604502856,0.11635013955314483,-0.2108618122627113,-0.356106924844644,0.010207592826652068,-0.7336200024885882
23,5.204089435218606,1.3371096221104573,0.11700309145412835,0.07670140746397344,0.08297841319869673,0.0716451614179984,5.747316185139649,5.513414547010825,5.424461590882551,5.251727011587491,5.496967340164927,4.833473209047172,1.2818972835451317,0.07983977152315924,-0.1838734930411447,-0.23390163812882392,-0.1727345792950601,-0.6634941311177549
